Author,Title,Author_lastname,description,printType,pageCount,categories,maturityRating,infoLink,averageRating,ratingsCount,ISBN_10,ISBN_13,Published_Google,Original_Title
"Kobabe, Maia",Gender Queer: A Memoir,Kobabe,"""It’s also a great resource for those who identify as nonbinary or asexual as well as for those who know someone who identifies that way and wish to better understand."" — School Library Journal (starred review) In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere.",BOOK,240,['Comics & Graphic Novels'],NOT_MATURE,http://books.google.com/books?id=nSFEvgEACAAJ&dq=Gender+Queer+inauthor:Kobabe&hl=&source=gbs_api,3,3,1549304003,9781549304002,2019-05-28,Gender Queer: A Memoir
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Kuklin,"A 2015 Stonewall Honor Book A groundbreaking work of LGBT literature takes an honest look at the life, love, and struggles of transgender teens. Author and photographer Susan Kuklin met and interviewed six transgender or gender-neutral young adults and used her considerable skills to represent them thoughtfully and respectfully before, during, and after their personal acknowledgment of gender preference. Portraits, family photographs, and candid images grace the pages, augmenting the emotional and physical journey each youth has taken. Each honest discussion and disclosure, whether joyful or heartbreaking, is completely different from the other because of family dynamics, living situations, gender, and the transition these teens make in recognition of their true selves.",BOOK,0,['Young Adult Nonfiction'],NOT_MATURE,http://books.google.com/books?id=peqOEAAAQBAJ&dq=Beyond+Magenta+inauthor:Kuklin&hl=&source=gbs_api,,,0763673684,9780763673680,2015-03-10,Beyond Magenta: Transgender Teens Speak Out
"Maas, Sarah J.",A Court of Frost and Starlight,Maas,"""As Feyre navigates her first Winter Solstice as High Lady, she finds that those dearest to her have more wounds than she anticipated--scars that will have far-reaching impact on the future of their Court""--",BOOK,274,['Fiction'],NOT_MATURE,http://books.google.com/books?id=M_haEAAAQBAJ&dq=A+Court+of+Frost+and+Starlight+inauthor:Maas&hl=&source=gbs_api,3.5,25,1635575621,9781635575620,2020-06-02,A Court of Frost and Starlight (A Court of Thorns and Roses Series)
"Maas, Sarah J.",A Court of Mist and Fury,Maas,The #1 New York Times bestselling sequel to Sarah J. Maas's stunning and seductive A Court of Thorns and Roses.,BOOK,661,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=GcbMDgAAQBAJ&dq=A+Court+of+Mist+and+Fury+inauthor:Maas&hl=&source=gbs_api,4.5,67,1619635194,9781619635197,2017-05-02,A Court of Mist and Fury (A Court of Thorns and Roses Series)
"Maas, Sarah J.",A ​Court of Silver Flames,Maas,"Sarah J. Maas's sexy, richly imagined series continues with the journey of Feyre's fiery sister, Nesta. Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it. The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other. Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts. Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",BOOK,768,['Fiction'],NOT_MATURE,https://play.google.com/store/books/details?id=OdXvDwAAQBAJ&source=gbs_api,4,12,1635576199,9781635576191,2021-02-16,A ​Court of Silver Flames (A Court of Thorns and Roses Series)
"Maas, Sarah J.",A Court of Thorns and Roses,Maas,"The sexy, action-packed first book in the #1 New York Times bestselling Court of Thorns and Roses series from Sarah J. Maas. When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world. At least, he's not a beast all the time. As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she's been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin-and his world-forever. From bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable read.",BOOK,432,['Fiction'],NOT_MATURE,https://play.google.com/store/books/details?id=E-kdBQAAQBAJ&source=gbs_api,4,2771,1619634457,9781619634459,2015-05-05,A Court of Thorns and Roses (A Court of Thorns and Roses Series)
"Maas, Sarah J.",A Court of Wings and Ruin,Maas,Sarah J. Maas hit the New York Times SERIES list at #1 with A Court of Wings and Ruin!,BOOK,739,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=4fZaEAAAQBAJ&dq=A+Court+of+Wings+and+Ruin+inauthor:Maas&hl=&source=gbs_api,4,34,1619635208,9781619635203,2018-05,A Court of Wings and Ruin (A Court of Thorns and Roses Series)
"Johnson, George M.",All Boys Aren't Blue,Johnson,"*An Amazon Best Book of the Year optioned for television by Gabrielle Union!* In a series of personal essays, prominent journalist and LGBTQIA+ activist George M. Johnson explores his childhood, adolescence, and college years in New Jersey and Virginia. From the memories of getting his teeth kicked out by bullies at age five, to flea marketing with his loving grandmother, to his first sexual relationships, this young-adult memoir weaves together the trials and triumphs faced by Black queer boys. Both a primer for teens eager to be allies as well as a reassuring testimony for young queer men of color, All Boys Aren't Blue covers topics such as gender identity, toxic masculinity, brotherhood, family, structural marginalization, consent, and Black joy. Johnson's emotionally frank style of writing will appeal directly to young adults.",BOOK,320,['Young Adult Nonfiction'],NOT_MATURE,https://play.google.com/store/books/details?id=i0W0DwAAQBAJ&source=gbs_api,4,8,0374312729,9780374312725,2020-04-28,All Boys Aren't Blue
"Reed, Amy",Beautiful,Reed,"Haunted by serious problems in her recent past, thirteen-year-old Cassie makes a fresh start at a Seattle school but is drawn by dangerous new friends into a world of sex, drugs, and violence, while her parents remain oblivious.",BOOK,258,['Juvenile Fiction'],MATURE,http://books.google.com/books?id=smgcvHjICmwC&dq=Beautiful+inauthor:Reed&hl=&source=gbs_api,3.5,9,1416978313,9781416978312,2010-10-05,Beautiful
"Niven, Jennifer",Breathless,Niven,"From the #1 New York Times bestselling author of All the Bright Places comes an unforgettable summer novel, set on an island off the coast of Georgia, about a sensitive girl ready to live her bravest life--sex, love, heartbreak, and all. Before: With graduation on the horizon, budding writer Claudine Henry is focused on three things: college in the fall, become a famous author, and the ever-elusive possibility of sex. She doesn't even need to be in love--sex is all she's looking for. Then her dad drops a bombshell: he and Claude's mom are splitting up. Suddenly, Claude's entire world feels like a lie, and the ground under her feet anything but stable. After: Claude's mom whisks them both away to a remote, mosquito-infested island off the coast of Georgia, a place where the two of them can start the painful process of mending their broken hearts. It's the last place Claude can imagine finding her footing, but then Jeremiah Crew happens. Miah is a local trail guide with a passion for photography, and a past he doesn't like to talk about. He's brash, enigmatic, and even more infuriatingly, he's the only one who seems to see Claude for who she wants to be. So when Claude decides to sleep with Miah, she tells herself it's just sex--exactly what she has planned. There isn't enough time to fall in love, especially if it means putting her already broken heart at risk. Compulsively readable and impossible to forget, Jennifer Niven's luminous new novel is an insightful portrait of a young woman determined to write her own next chapter--sex, resilience, mosquito bites, and all.",BOOK,401,['Young Adult Fiction'],NOT_MATURE,http://books.google.com/books?id=sPFnEAAAQBAJ&dq=Breathless+inauthor:Niven&hl=&source=gbs_api,5,1,1524701998,9781524701994,2022-05-03,Breathless
